Date,adm0_a3,Province/State,Country/Region,Lat,Long,Population,Confirmed,r_Confirmed,i_Confirmed,ri_Confirmed,Tot_Confirmed,iTot_Confirmed,rTot_Confirmed,riTot_Confirmed,Deaths,r_Deaths,i_Deaths,ri_Deaths,Tot_Deaths,iTot_Deaths,rTot_Deaths,riTot_Deaths
2/7/22,AFG,NA,Afghanistan,33.9391,67.71,38928341.0,166924,428.7981,733.0,1.8829,166924,733.0,428.7981,1.8829,7442,19.1172,10.0,0.0257,7442,10.0,19.1172,0.0257
2/7/22,ALB,NA,Albania,41.1533,20.1683,2877800.0,264875,9204.0795,251.0,8.7219,264875,251.0,9204.0795,8.7219,3387,117.6941,7.0,0.2432,3387,7.0,117.6941,0.2432
2/7/22,DZA,NA,Algeria,28.0339,1.6596,43851043.0,258478,589.4455,502.0,1.1448,258478,502.0,589.4455,1.1448,6654,15.1741,8.0,0.0182,6654,8.0,15.1741,0.0182
2/7/22,AND,NA,Andorra,42.5063,1.5218,77265.0,36808,47638.6462,209.0,270.4976,36808,209.0,47638.6462,270.4976,147,190.2543,0.0,0.0,147,0.0,190.2543,0.0
2/7/22,AGO,NA,Angola,-11.2027,17.8739,32866268.0,98409,299.4225,45.0,0.1369,98409,45.0,299.4225,0.1369,1896,5.7688,0.0,0.0,1896,0.0,5.7688,0.0
2/7/22,ATA,NA,Antarctica,-71.9499,23.347,,11,,0.0,,11,0.0,inf,,0,,0.0,,0,0.0,,
2/7/22,ATG,NA,Antigua and Barbuda,17.0608,-61.7964,97928.0,6853,6997.9985,0.0,0.0,6853,0.0,6997.9985,0.0,131,133.7718,0.0,0.0,131,0.0,133.7718,0.0
2/7/22,ARG,NA,Argentina,-38.4161,-63.6167,45195777.0,8615285,19062.146,25406.0,56.2132,8615285,25406.0,19062.146,56.2132,122943,272.0232,259.0,0.5731,122943,259.0,272.0232,0.5731
2/7/22,ARM,NA,Armenia,40.0691,45.0382,2963234.0,391588,13214.8862,1631.0,55.0412,391588,1631.0,13214.8862,55.0412,8097,273.2488,11.0,0.3712,8097,11.0,273.2488,0.3712
2/7/22,AUS,Australian Capital Territory,Australia,-35.4735,149.0124,428100.0,38698,9039.4768,0.0,0.0,2779880,27373.0,10918.7461,107.515,29,6.7741,0.0,0.0,4302,54.0,16.8973,0.2121
2/7/22,AUS,New South Wales,Australia,-33.8688,151.2093,8118000.0,1154133,14216.9623,9385.0,115.6073,2779880,27373.0,10918.7461,107.515,1596,19.66,18.0,0.2217,4302,54.0,16.8973,0.2121
2/7/22,AUS,Northern Territory,Australia,-12.4634,130.8456,245600.0,24350,9914.4951,1092.0,444.6254,2779880,27373.0,10918.7461,107.515,5,2.0358,0.0,0.0,4302,54.0,16.8973,0.2121
2/7/22,AUS,Queensland,Australia,-27.4698,153.0251,5115500.0,462761,9046.2516,5178.0,101.2218,2779880,27373.0,10918.7461,107.515,308,6.0209,12.0,0.2346,4302,54.0,16.8973,0.2121
2/7/22,AUS,South Australia,Australia,-34.9285,138.6007,1756500.0,131898,7509.1375,1296.0,73.7831,2779880,27373.0,10918.7461,107.515,137,7.7996,4.0,0.2277,4302,54.0,16.8973,0.2121
2/7/22,AUS,Tasmania,Australia,-42.8821,147.3272,535500.0,32303,6032.3063,601.0,112.2316,2779880,27373.0,10918.7461,107.515,20,3.7348,0.0,0.0,4302,54.0,16.8973,0.2121
2/7/22,AUS,Victoria,Australia,-37.8136,144.9631,6629900.0,933989,14087.5277,9785.0,147.589,2779880,27373.0,10918.7461,107.515,2198,33.1528,20.0,0.3017,4302,54.0,16.8973,0.2121
2/7/22,AUS,Western Australia,Australia,-31.9505,115.8605,2630600.0,1748,66.4487,36.0,1.3685,2779880,27373.0,10918.7461,107.515,9,0.3421,0.0,0.0,4302,54.0,16.8973,0.2121
2/7/22,AUT,NA,Austria,47.5162,14.5501,9006400.0,2084227,23141.6215,27299.0,303.1067,2084227,27299.0,23141.6215,303.1067,14246,158.1764,14.0,0.1554,14246,14.0,158.1764,0.1554
2/7/22,AZE,NA,Azerbaijan,40.1431,47.5769,10139175.0,703334,6936.7971,4680.0,46.1576,703334,4680.0,6936.7971,46.1576,8898,87.7586,27.0,0.2663,8898,27.0,87.7586,0.2663
2/7/22,BHS,NA,Bahamas,25.0259,-78.0359,393248.0,32802,8341.3012,29.0,7.3745,32802,29.0,8341.3012,7.3745,753,191.4822,0.0,0.0,753,0.0,191.4822,0.0
2/7/22,BHR,NA,Bahrain,26.0275,50.55,1701583.0,428123,25160.2772,7042.0,413.8499,428123,7042.0,25160.2772,413.8499,1414,83.0991,3.0,0.1763,1414,3.0,83.0991,0.1763
2/7/22,BGD,NA,Bangladesh,23.685,90.3563,164689383.0,1870901,1136.018,9369.0,5.6889,1870901,9369.0,1136.018,5.6889,28627,17.3824,38.0,0.0231,28627,38.0,17.3824,0.0231
2/7/22,BRB,NA,Barbados,13.1939,-59.5432,287371.0,48658,16932.1191,419.0,145.8046,48658,419.0,16932.1191,145.8046,286,99.5229,0.0,0.0,286,0.0,99.5229,0.0
2/7/22,BLR,NA,Belarus,53.7098,27.9534,9449321.0,783260,8289.0612,5869.0,62.1103,783260,5869.0,8289.0612,62.1103,6159,65.1793,12.0,0.127,6159,12.0,65.1793,0.127
2/7/22,BEL,NA,Belgium,50.8333,4.4699,11492641.0,3344833,29104.1285,48795.0,424.576,3344833,48795.0,29104.1285,424.576,29337,255.2677,110.0,0.9571,29337,110.0,255.2677,0.9571
2/7/22,BLZ,NA,Belize,17.1899,-88.4976,397621.0,54179,13625.7894,635.0,159.6998,54179,635.0,13625.7894,159.6998,630,158.4423,1.0,0.2515,630,1.0,158.4423,0.2515
2/7/22,BEN,NA,Benin,9.3077,2.3158,12123198.0,26498,218.5727,0.0,0.0,26498,0.0,218.5727,0.0,163,1.3445,0.0,0.0,163,0.0,1.3445,0.0
2/7/22,BTN,NA,Bhutan,27.5142,90.4336,771612.0,6300,816.4725,208.0,26.9566,6300,208.0,816.4725,26.9566,4,0.5184,0.0,0.0,4,0.0,0.5184,0.0
2/7/22,BOL,NA,Bolivia,-16.2902,-63.5887,11673029.0,874906,7495.1069,3157.0,27.0453,874906,3157.0,7495.1069,27.0453,21171,181.3668,42.0,0.3598,21171,42.0,181.3668,0.3598
2/7/22,BIH,NA,Bosnia and Herzegovina,43.9159,17.6791,3280815.0,356930,10879.309,2605.0,79.401,356930,2605.0,10879.309,79.401,14800,451.1074,128.0,3.9015,14800,128.0,451.1074,3.9015
2/7/22,BWA,NA,Botswana,-22.3285,24.6849,2351625.0,257167,10935.7147,1126.0,47.8818,257167,1126.0,10935.7147,47.8818,2593,110.2642,8.0,0.3402,2593,8.0,110.2642,0.3402
2/7/22,BRA,NA,Brazil,-14.235,-51.9253,212559409.0,26616014,12521.6823,69615.0,32.7508,26616014,69615.0,12521.6823,32.7508,632946,297.7737,432.0,0.2032,632946,432.0,297.7737,0.2032
2/7/22,BRN,NA,Brunei,4.5353,114.7277,437483.0,18152,4149.1898,748.0,170.9781,18152,748.0,4149.1898,170.9781,98,22.4009,0.0,0.0,98,0.0,22.4009,0.0
2/7/22,BGR,NA,Bulgaria,42.7339,25.4858,6948445.0,1003448,14441.3318,8012.0,115.3064,1003448,8012.0,14441.3318,115.3064,33946,488.541,176.0,2.5329,33946,176.0,488.541,2.5329
2/7/22,BFA,NA,Burkina Faso,12.2383,-1.5616,20903278.0,20683,98.9462,4.0,0.0191,20683,4.0,98.9462,0.0191,372,1.7796,0.0,0.0,372,0.0,1.7796,0.0
2/7/22,MMR,NA,Burma,21.9162,95.956,54409794.0,538409,989.5443,508.0,0.9337,538409,508.0,989.5443,0.9337,19310,35.4899,0.0,0.0,19310,0.0,35.4899,0.0
2/7/22,BDI,NA,Burundi,-3.3731,29.9189,11890781.0,37742,317.4056,180.0,1.5138,37742,180.0,317.4056,1.5138,38,0.3196,0.0,0.0,38,0.0,0.3196,0.0
2/7/22,CPV,NA,Cabo Verde,16.5388,-23.0418,555988.0,55802,10036.5476,17.0,3.0576,55802,17.0,10036.5476,3.0576,398,71.5843,1.0,0.1799,398,1.0,71.5843,0.1799
2/7/22,KHM,NA,Cambodia,11.55,104.9167,16718971.0,121881,728.9982,108.0,0.646,121881,108.0,728.9982,0.646,3015,18.0334,0.0,0.0,3015,0.0,18.0334,0.0
2/7/22,CMR,NA,Cameroon,3.848,11.5021,26545864.0,117676,443.2932,958.0,3.6088,117676,958.0,443.2932,3.6088,1907,7.1838,27.0,0.1017,1907,27.0,7.1838,0.1017
2/7/22,CAN,Alberta,Canada,53.9333,-116.5765,4442879.0,508051,11435.1753,4618.0,103.9416,3155276,16050.0,8249.927,41.9651,3673,82.6716,39.0,0.8778,35363,127.0,92.4617,0.3321
2/7/22,CAN,British Columbia,Canada,53.7267,-127.6476,5214805.0,333925,6403.4034,3287.0,63.0321,3155276,16050.0,8249.927,41.9651,2707,51.9099,32.0,0.6136,35363,127.0,92.4617,0.3321
2/7/22,CAN,Diamond Princess,Canada,,,,0,,0.0,,3155276,16050.0,8249.927,41.9651,1,,0.0,,35363,127.0,92.4617,0.3321
2/7/22,CAN,Grand Princess,Canada,,,,13,,0.0,,3155276,16050.0,8249.927,41.9651,0,,0.0,,35363,127.0,92.4617,0.3321
2/7/22,CAN,Manitoba,Canada,53.7609,-98.8139,1383765.0,123739,8942.1976,1107.0,79.9991,3155276,16050.0,8249.927,41.9651,1600,115.6266,15.0,1.084,35363,127.0,92.4617,0.3321
2/7/22,CAN,New Brunswick,Canada,46.5653,-66.4619,789225.0,31017,3930.058,261.0,33.0704,3155276,16050.0,8249.927,41.9651,263,33.3238,4.0,0.5068,35363,127.0,92.4617,0.3321
2/7/22,CAN,Newfoundland and Labrador,Canada,53.1355,-57.6604,520553.0,18740,3600.0177,166.0,31.8892,3155276,16050.0,8249.927,41.9651,46,8.8368,0.0,0.0,35363,127.0,92.4617,0.3321
2/7/22,CAN,Northwest Territories,Canada,64.8255,-124.8457,45504.0,6846,15044.8312,296.0,650.4923,3155276,16050.0,8249.927,41.9651,17,37.3594,0.0,0.0,35363,127.0,92.4617,0.3321
2/7/22,CAN,Nova Scotia,Canada,44.682,-63.7443,992055.0,40454,4077.7981,1325.0,133.5611,3155276,16050.0,8249.927,41.9651,158,15.9265,1.0,0.1008,35363,127.0,92.4617,0.3321
2/7/22,CAN,Nunavut,Canada,70.2998,-83.1076,39403.0,1989,5047.839,54.0,137.0454,3155276,16050.0,8249.927,41.9651,5,12.6894,0.0,0.0,35363,127.0,92.4617,0.3321
2/7/22,CAN,Ontario,Canada,51.2538,-85.3232,14826276.0,1072055,7230.7773,2647.0,17.8534,3155276,16050.0,8249.927,41.9651,12354,83.325,13.0,0.0877,35363,127.0,92.4617,0.3321
2/7/22,CAN,Prince Edward Island,Canada,46.5107,-63.4168,164318.0,8764,5333.5605,0.0,0.0,3155276,16050.0,8249.927,41.9651,12,7.3029,1.0,0.6086,35363,127.0,92.4617,0.3321
2/7/22,CAN,Quebec,Canada,52.9399,-73.5491,8604495.0,883190,10264.2863,2240.0,26.0329,3155276,16050.0,8249.927,41.9651,13495,156.8366,20.0,0.2324,35363,127.0,92.4617,0.3321
2/7/22,CAN,Saskatchewan,Canada,52.9399,-106.4509,1179844.0,123258,10446.9743,0.0,0.0,3155276,16050.0,8249.927,41.9651,1012,85.7741,0.0,0.0,35363,127.0,92.4617,0.3321
2/7/22,CAN,Yukon,Canada,64.2823,-135.0,42986.0,3235,7525.706,49.0,113.9906,3155276,16050.0,8249.927,41.9651,20,46.5268,2.0,4.6527,35363,127.0,92.4617,0.3321
2/7/22,CAF,NA,Central African Republic,6.6111,20.9394,4829764.0,14023,290.3454,0.0,0.0,14023,0.0,290.3454,0.0,110,2.2775,0.0,0.0,110,0.0,2.2775,0.0
2/7/22,TCD,NA,Chad,15.4542,18.7322,16425859.0,7214,43.9186,57.0,0.347,7214,57.0,43.9186,0.347,190,1.1567,0.0,0.0,190,0.0,1.1567,0.0
2/7/22,CHL,NA,Chile,-35.6751,-71.543,19116209.0,2405672,12584.4617,33839.0,177.0173,2405672,33839.0,12584.4617,177.0173,40060,209.5604,73.0,0.3819,40060,73.0,209.5604,0.3819
2/7/22,CHN,Anhui,China,31.8257,117.2264,61027171.0,1009,1.6534,0.0,0.0,120779,151.0,8.5672,0.0107,6,0.0098,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Beijing,China,40.1824,116.4142,21893095.0,1364,6.2303,1.0,0.0046,120779,151.0,8.5672,0.0107,9,0.0411,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Chongqing,China,30.0572,107.874,32054159.0,613,1.9124,0.0,0.0,120779,151.0,8.5672,0.0107,6,0.0187,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Fujian,China,26.0789,117.9874,41540086.0,1460,3.5147,0.0,0.0,120779,151.0,8.5672,0.0107,1,0.0024,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Gansu,China,35.7518,104.2861,25019831.0,356,1.4229,0.0,0.0,120779,151.0,8.5672,0.0107,2,0.008,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Guangdong,China,23.3417,113.4244,126012510.0,3859,3.0624,18.0,0.0143,120779,151.0,8.5672,0.0107,8,0.0063,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Guangxi,China,23.8298,108.7881,50126804.0,826,1.6478,65.0,0.1297,120779,151.0,8.5672,0.0107,2,0.004,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Guizhou,China,26.8154,106.8748,38562148.0,161,0.4175,0.0,0.0,120779,151.0,8.5672,0.0107,2,0.0052,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Hainan,China,19.1959,109.7453,10081232.0,190,1.8847,0.0,0.0,120779,151.0,8.5672,0.0107,6,0.0595,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Hebei,China,37.8957,114.9042,74610235.0,1476,1.9783,0.0,0.0,120779,151.0,8.5672,0.0107,7,0.0094,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Heilongjiang,China,47.862,127.7615,31850088.0,2064,6.4804,0.0,0.0,120779,151.0,8.5672,0.0107,13,0.0408,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Henan,China,33.882,113.614,99365519.0,2662,2.679,1.0,0.001,120779,151.0,8.5672,0.0107,22,0.0221,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,HKG,Hong Kong,China,22.3,114.2,7496988.0,16022,213.7125,614.0,8.19,16022,614.0,213.7125,8.19,213,2.8411,0.0,0.0,213,0.0,2.8411,0.0
2/7/22,CHN,Hubei,China,30.9756,112.2707,57752557.0,68320,118.2978,0.0,0.0,120779,151.0,8.5672,0.0107,4512,7.8126,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Hunan,China,27.6104,111.7088,66444864.0,1231,1.8527,0.0,0.0,120779,151.0,8.5672,0.0107,4,0.006,0.0,0.0,4636,0.0,0.3288,0.0
2/7/22,CHN,Inner Mongolia,China,44.0935,113.9448,24049155.0,1191,4.9524,0.0,0.0,120779,151.0,8.5672,0.0107,1,0.0042,0.0,0.0,4636,0.0,0.3288,0.0
